ORIGIN_AIRPORT_ID,nbs de vols,nbs_compagnies,nbs_aeroports_dest
11577,7,1,1
12278,180,9,10
14843,440,7,22
12391,91,1,7
11995,169,7,12
11481,83,3,6
14492,775,12,34
15048,9,1,1
13795,28,2,2
11637,83,5,5
14321,110,8,10
12954,237,5,14
13577,46,4,4
10577,9,1,1
14307,241,8,18
11977,96,5,5
10990,35,2,2
10135,60,6,6
15370,321,8,19
14122,618,13,30
15323,50,2,1
11111,12,2,4
11905,13,1,1
11298,4874,13,145
10157,58,1,3
11423,208,12,15
15401,18,2,1
10372,62,2,6
15919,214,5,11
13871,311,11,18
14802,1,1,1
13388,7,1,3
12982,243,7,9
15411,47,2,2
11259,757,3,21
11203,39,4,3
12129,12,1,2
12896,132,4,7
11778,32,2,3
10154,5,1,2
11003,113,5,7
14576,154,10,12
11433,2026,12,114
14543,27,1,3
12156,15,2,3
10666,21,2,3
13121,2,1,2
12478,1741,10,65
10146,12,1,1
13377,60,2,3
12884,39,3,3
12451,443,11,26
14107,3183,14,79
14711,9,1,1
10397,6665,13,155
14679,1391,13,42
10754,13,1,2
11415,6,1,1
13424,19,1,1
10551,10,1,1
11067,47,1,2
12915,25,2,2
11618,2104,12,79
15304,1117,11,56
14905,22,1,1
12007,15,1,1
14193,173,6,9
10785,75,5,8
10333,7,1,2
11267,201,9,13
11612,52,3,4
11617,18,1,1
10140,509,10,26
15356,4,1,3
13061,40,2,2
11413,32,3,3
12511,13,1,1
12951,102,2,3
16218,48,2,2
13891,363,8,15
14027,389,8,20
14057,893,11,47
13241,7,1,1
11066,480,11,25
13360,25,2,1
14869,1856,12,81
11337,49,2,3
15295,3,1,1
12889,2440,13,74
10721,1806,14,55
11775,126,7,6
10779,12,1,1
14524,326,10,17
10643,25,3,5
10980,76,3,4
12436,6,1,1
14709,13,1,2
10781,129,3,4
10747,40,3,2
12339,541,12,30
14457,84,4,6
13970,9,1,2
10930,21,1,2
13256,67,4,3
10141,11,1,1
11292,4053,13,138
13830,433,7,18
11013,6,1,1
11953,47,2,2
11146,58,4,7
10170,12,1,1
15897,3,1,1
12173,952,7,27
13486,62,2,5
13422,89,3,4
11823,73,4,5
11076,11,1,1
10466,2,1,1
15624,108,3,3
11122,51,1,2
10279,126,3,5
10599,309,8,22
11996,173,5,14
10361,14,1,1
13796,768,9,27
13264,51,1,3
10431,63,5,6
12945,114,6,8
14831,687,11,25
13459,14,2,2
12891,43,1,1
11630,78,3,6
11997,1,1,1
10257,153,7,13
11140,127,4,3
14960,22,1,1
13933,1,1,1
13487,2060,12,106
12094,14,4,6
12323,68,5,3
10434,31,3,4
12953,1726,12,52
11278,1206,14,42
10155,23,1,1
12892,3796,14,77
11721,62,6,7
14794,32,1,3
14683,725,13,30
11042,840,11,56
10529,378,11,25
11503,37,4,9
13198,871,13,38
11308,13,1,1
14588,16,1,1
12320,1,1,1
14689,187,4,6
10469,30,4,3
15380,42,5,5
14747,1764,12,57
14574,49,3,4
13230,105,8,7
10849,62,4,7
14098,49,4,4
10693,978,10,46
14698,83,2,3
12012,14,4,3
10620,53,4,4
10731,17,1,1
13495,663,13,36
11252,38,2,2
11587,5,2,2
10994,241,9,16
14893,739,11,25
11041,33,1,1
11315,7,2,2
13502,32,5,5
14006,10,1,1
14570,310,8,16
11603,107,1,5
12264,1291,11,72
15096,130,8,12
12343,3,1,3
12177,8,1,1
15027,23,3,3
11641,53,3,2
13930,5339,12,148
14771,2976,12,76
14635,437,10,33
14487,31,1,1
10208,47,4,3
14633,29,3,2
12197,133,5,8
