13795,35,2,2
11637,106,5,6
14321,131,8,10
12954,270,5,14
13577,57,4,4
10577,10,1,1
14307,280,8,18
11977,115,5,5
10990,40,2,2
10135,72,6,6
15370,371,8,19
14122,711,13,30
15323,58,2,1
11111,12,2,4
11905,14,1,1
11298,5710,13,146
10157,68,1,3
11423,252,12,15
15401,19,2,1
10372,78,2,6
15919,249,5,11
13871,368,11,18
14802,2,1,1
13388,9,1,3
12982,282,7,11
15411,55,2,2
11259,869,3,21
11203,48,4,3
12129,13,1,2
12896,154,4,7
11778,40,2,3
10154,5,1,2
11003,137,5,7
14576,185,10,12
11433,2477,12,115
14543,36,1,3
12156,19,2,3
10666,23,2,3
13121,2,1,2
12478,2054,10,66
10146,14,1,1
12884,46,3,3
13377,69,2,3
12451,511,11,26
14107,3692,14,79
14711,9,1,1
10397,7858,13,156
14679,1621,13,43
10754,14,1,2
11415,8,1,1
13424,21,1,1
10551,14,1,1
11067,57,1,2
12915,29,2,2
11618,2464,12,80
15304,1325,12,57
14905,28,1,1
12007,17,1,1
14193,201,6,9
10785,89,5,9
10333,8,1,2
11267,233,9,13
11612,60,3,4
11617,22,1,1
10140,583,10,26
15356,6,1,4
13061,48,2,2
11413,33,3,3
12511,16,1,1
12951,120,2,3
16218,54,2,2
13891,424,8,15
14027,443,8,21
14057,1055,11,48
13241,7,1,1
11066,564,11,26
13360,30,2,1
14869,2183,12,82
11337,60,2,3
15295,3,1,1
12889,2838,13,75
10721,2114,14,55
11775,148,7,6
10779,14,1,1
14524,383,10,17
10643,29,3,5
10980,86,4,4
12436,8,1,1
14709,13,1,2
10781,161,3,4
10747,47,3,2
12339,630,12,30
14457,93,4,6
13970,12,1,2
10930,22,1,2
13256,77,4,3
10141,15,1,1
11292,4766,13,139
13830,507,7,18
11013,10,1,1
11953,56,2,2
11146,65,4,7
10170,14,1,1
15897,4,1,1
12173,1090,7,27
13486,74,2,5
13422,106,3,4
11823,90,4,5
11076,16,1,1
10466,2,1,1
15624,119,3,3
11122,56,1,2
10279,149,3,5
10599,359,8,22
11996,206,5,15
10361,15,1,1
13796,890,9,27
10245,1,1,1
13264,60,1,3
10431,80,5,6
12945,138,6,8
14831,811,11,25
13459,15,2,2
12891,50,1,1
11630,91,3,7
11997,1,1,1
10257,179,7,13
11140,152,4,3
14960,29,1,1
13933,1,1,1
13487,2472,12,109
12094,19,4,7
12323,80,5,3
10434,37,3,4
12953,2055,12,55
11278,1429,14,44
10155,29,1,1
12892,4446,14,81
11721,75,6,8
14794,40,1,3
14683,848,13,30
11042,963,11,56
10529,438,12,25
13198,1006,13,39
11308,16,1,1
14588,19,1,1
11503,44,4,9
12320,3,1,2
14689,232,4,6
10469,41,4,3
15380,52,5,5
14747,2074,12,58
14574,59,3,4
13230,120,8,7
10849,72,4,7
14098,55,4,4
10693,1147,10,46
14698,98,2,3
12012,16,4,3
10620,64,4,4
10731,21,1,1
13495,796,13,39
11252,47,2,2
11587,6,2,2
10994,295,9,16
14893,863,11,25
13502,40,5,6
11041,48,1,1
11315,12,2,2
14006,15,1,1
14570,344,8,16
11603,119,1,5
12264,1502,11,72
15096,158,8,12
12343,4,1,3
12177,10,1,1
15027,25,3,3
11641,58,3,2
13930,6239,12,149
14771,3450,12,76
14635,526,10,33
14487,36,1,1
10208,61,4,3
14633,33,3,2
12197,161,5,8
10821,2054,12,69
10627,84,5,3
12280,72,1,3
13344,15,1,1
10800,516,6,11
10868,128,4,7
13290,34,1,2
11336,2,1,1
13024,15,1,2
14828,32,1,3
12363,10,1,1
14254,21,1,2
14952,48,2,2
